topic,score,sentence,split,sentence_id,sentence_name,video_id,video_name,start,end,matches,source_file,row_number
HELLO,64,Good evening.,train,-dTqNMtTqO8_7,-dTqNMtTqO8_7-5-rgb_front,-dTqNMtTqO8,-dTqNMtTqO8-5-rgb_front,62.16,62.76,good evening,how2sign_train.csv,1788
HELLO,59,"Hi, I'm Bobby Larew.",train,0Dqrsiqf4pY_0,0Dqrsiqf4pY_0-8-rgb_front,0Dqrsiqf4pY,0Dqrsiqf4pY-8-rgb_front,0.7,1.92,hi,how2sign_train.csv,4027
HELLO,59,"Hi, I'm Jeanette Welker.",train,01Dnm-s8rNI_0,01Dnm-s8rNI_0-3-rgb_front,01Dnm-s8rNI,01Dnm-s8rNI-3-rgb_front,0.7,1.59,hi,how2sign_train.csv,2546
HELLO,59,"Hi, I'm Jeanette Welker.",train,CRY7RCMlqTM_0,CRY7RCMlqTM_0-5-rgb_front,CRY7RCMlqTM,CRY7RCMlqTM-5-rgb_front,0.6,1.78,hi,how2sign_train.csv,20867
HELLO,59,"Hi, I'm Jennifer Cail.",train,1BE6JW91TyM_0,1BE6JW91TyM_0-8-rgb_front,1BE6JW91TyM,1BE6JW91TyM-8-rgb_front,0.18,1.96,hi,how2sign_train.csv,7957
HELLO,59,"Hi, I'm Jennifer Cail.",train,1Npqw3j6-w0_0,1Npqw3j6-w0_0-8-rgb_front,1Npqw3j6-w0,1Npqw3j6-w0-8-rgb_front,0.68,2.35,hi,how2sign_train.csv,9304
HELLO,59,"Hi, I'm Jennifer Cail.",train,1mN7gG892WI_0,1mN7gG892WI_0-8-rgb_front,1mN7gG892WI,1mN7gG892WI-8-rgb_front,0.48,1.97,hi,how2sign_train.csv,13233
HELLO,59,"Hi, I'm Jennifer Cail.",train,bcGTWy6jndk_0,bcGTWy6jndk_0-8-rgb_front,bcGTWy6jndk,bcGTWy6jndk-8-rgb_front,0.68,2.36,hi,how2sign_train.csv,27047
HELLO,59,"Hi, I'm Kyle Brayer.",train,dvbjlbs5rm0_0,dvbjlbs5rm0_0-2-rgb_front,dvbjlbs5rm0,dvbjlbs5rm0-2-rgb_front,0.51,1.43,hi,how2sign_train.csv,29668
HELLO,59,"Hi, I'm Les Whitley.",train,1imaK8eDk5Q_0,1imaK8eDk5Q_0-8-rgb_front,1imaK8eDk5Q,1imaK8eDk5Q-8-rgb_front,0.84,1.85,hi,how2sign_train.csv,12700
HELLO,59,"Hi, I'm Richard Goms.",train,1O_X7NnW-HA_0,1O_X7NnW-HA_0-5-rgb_front,1O_X7NnW-HA,1O_X7NnW-HA-5-rgb_front,0.64,2.0,hi,how2sign_train.csv,9360
HELLO,59,"Hi, I'm Steve Anthony.",train,bZfiiqG_cF8_0,bZfiiqG_cF8_0-5-rgb_front,bZfiiqG_cF8,bZfiiqG_cF8-5-rgb_front,0.27,4.1,hi,how2sign_train.csv,26963
