topic,score,sentence,matches,split,vid,yid,start,end,row_number
NAME,61,My name is Dominice and I'm 11.,my name is | my name | name,train,vi4MuOpuhcg-00:13:10.519-00:13:13.980,vi4MuOpuhcg,00:13:10.519,00:13:13.980,46826
NAME,61,I AM [choose one: DEAF/HARD OF HEARING/DEAFBLIND].   MY NAME IS [add your name here].   I WILL HOLD UP MY PHONE FOR YOU TO SPEAK INTO MY SPEECH-TO-TEXT APP.,my name is | my name | your name | name,train,jfdwjt7RzFU-00:24:25.400-00:24:46.480,jfdwjt7RzFU,00:24:25.400,00:24:46.480,52278
NAME,59,"Hello, what’s your name?",your name | what's your name | name,test,fNT8a6e1gx8-00:04:20.100-00:04:21.233,fNT8a6e1gx8,00:04:20.100,00:04:21.233,97576
NAME,59,MY NAME IS __.,my name is | my name | name,train,CnBZlJ39ESQ-00:06:34.060-00:06:36.879,CnBZlJ39ESQ,00:06:34.060,00:06:36.879,64087
NAME,59,My name is Aubrie.,my name is | my name | name,train,0KcUZlotmlo-00:05:01.279-00:05:02.560,0KcUZlotmlo,00:05:01.279,00:05:02.560,25428
NAME,59,My name is Cayden.,my name is | my name | name,train,0KcUZlotmlo-00:11:57.360-00:12:00.360,0KcUZlotmlo,00:11:57.360,00:12:00.360,25218
NAME,59,My name is Christian.,my name is | my name | name,train,0KcUZlotmlo-00:09:32.077-00:09:35.480,0KcUZlotmlo,00:09:32.077,00:09:35.480,25203
NAME,59,My name is Ellis.,my name is | my name | name,train,pQEx6ySX0Bk-00:14:13.018-00:14:13.994,pQEx6ySX0Bk,00:14:13.018,00:14:13.994,7698
NAME,59,My name is Faith.,my name is | my name | name,train,vi4MuOpuhcg-00:04:09.020-00:04:10.580,vi4MuOpuhcg,00:04:09.020,00:04:10.580,46796
NAME,59,My name is Gabriella.,my name is | my name | name,train,e1ufQQzu6Xw-01:12:54.423-01:12:58.716,e1ufQQzu6Xw,01:12:54.423,01:12:58.716,69512
NAME,59,My name is Hiruni.,my name is | my name | name,train,e1ufQQzu6Xw-01:10:12.904-01:10:17.465,e1ufQQzu6Xw,01:10:12.904,01:10:17.465,69548
NAME,59,My name is Jake.,my name is | my name | name,train,P59eHXwD2ao-00:00:54.200-00:00:57.119,P59eHXwD2ao,00:00:54.200,00:00:57.119,43025
NAME,59,My name is Jarvis.,my name is | my name | name,train,DvFrW_NwzsI-00:00:33.450-00:00:35.125,DvFrW_NwzsI,00:00:33.450,00:00:35.125,67925
