topic,score,sentence,split,sentence_id,sentence_name,video_id,video_name,start,end,word_count,matches
INTRODUCTIONS,185,"Hi, my name is Michael Orkin and I'm a television producer.",train,blRbyoIFBss_0,blRbyoIFBss_0-5-rgb_front,blRbyoIFBss,blRbyoIFBss-5-rgb_front,0.11,2.99,11,hi | my name is | i'm
INTRODUCTIONS,185,"Hello, my name is Scott and I'm the owner of Climb On!",train,0uXFGfpBDWc_0,0uXFGfpBDWc_0-11-rgb_front,0uXFGfpBDWc,0uXFGfpBDWc-11-rgb_front,0.88,3.58,12,hello | my name is | i'm
INTRODUCTIONS,185,"Hello, my name is Gabriela Garzon , and I'm an image consultant with G.G.",test,G21Gx_C18IA_0,G21Gx_C18IA_0-2-rgb_front,G21Gx_C18IA,G21Gx_C18IA-2-rgb_front,0.68,3.89,14,hello | my name is | i'm
INTRODUCTIONS,183,"Hello, my name is Scott.",train,1-9KdWON_R0_0,1-9KdWON_R0_0-5-rgb_front,1-9KdWON_R0,1-9KdWON_R0-5-rgb_front,0.75,1.7,5,hello | my name is
INTRODUCTIONS,182,Hi my name is Mary Thinnes and I am a skin care expert.,train,5myLxfF9NWM_0,5myLxfF9NWM_0-8-rgb_front,5myLxfF9NWM,5myLxfF9NWM-8-rgb_front,0.61,2.99,13,hi | my name is | i am
INTRODUCTIONS,182,"Hi, my name is Sue Conrad, and I am going to show you how to exercise in your car.",train,1pDmmsYwDJA_0,1pDmmsYwDJA_0-8-rgb_front,1pDmmsYwDJA,1pDmmsYwDJA-8-rgb_front,0.28,5.37,19,hi | my name is | i am
INTRODUCTIONS,170,Hi my name is Mary Thinnes and I'm a skin care expert.,train,cRrKSTsUW10_0,cRrKSTsUW10_0-2-rgb_front,cRrKSTsUW10,cRrKSTsUW10-2-rgb_front,0.37,2.92,12,hi | my name is | i'm
INTRODUCTIONS,170,"Hi my name is Tim Cole, I'm with the Austin Reptile Service.",train,2-G31CNowCU_0,2-G31CNowCU_0-8-rgb_front,2-G31CNowCU,2-G31CNowCU-8-rgb_front,0.07,2.97,12,hi | my name is | i'm
INTRODUCTIONS,170,"Hi, my name is Mary Thinnes and I'm a skin care expert.",train,1iQ5DtFbgT4_0,1iQ5DtFbgT4_0-8-rgb_front,1iQ5DtFbgT4,1iQ5DtFbgT4-8-rgb_front,0.42,2.87,12,hi | my name is | i'm
INTRODUCTIONS,170,"Hi my name is Adam Bowling, I'm representing the Christian Martial Arts Association.",train,DxDbmYtzT14_0,DxDbmYtzT14_0-8-rgb_front,DxDbmYtzT14,DxDbmYtzT14-8-rgb_front,0.59,5.83,13,hi | my name is | i'm
INTRODUCTIONS,168,"Hi, my name is Elliot.",train,2ckGjVDGnYE_0,2ckGjVDGnYE_0-8-rgb_front,2ckGjVDGnYE,2ckGjVDGnYE-8-rgb_front,0.88,2.26,5,hi | my name is
INTRODUCTIONS,165,Hi my name is Tishambia Caine and I'm with Studio Soiree and I'm doing the cardio cabaret dance routine.,train,1i3DinytEDE_0,1i3DinytEDE_0-8-rgb_front,1i3DinytEDE,1i3DinytEDE-8-rgb_front,0.05,5.51,19,hi | my name is | i'm
INTRODUCTIONS,165,"Hi, my name is Dean Hale, I'm going to tell you a little bit about how to play dice.",train,58xX_6AShZQ_1,58xX_6AShZQ_1-5-rgb_front,58xX_6AShZQ,58xX_6AShZQ-5-rgb_front,4.14,7.36,19,hi | my name is | i'm
INTRODUCTIONS,160,"Hi, my name is Chell Garcia-Trias, and I'm a modern dancer in Austin Texas.",train,1gOQLPDtr3c_0,1gOQLPDtr3c_0-8-rgb_front,1gOQLPDtr3c,1gOQLPDtr3c-8-rgb_front,0.56,5.55,15,hi | my name is | i'm
INTRODUCTIONS,160,"Hi, my name is Lauren, and today, I'm going to go over how to keep from going bald.",train,BfS0S717ykQ_0,BfS0S717ykQ_0-2-rgb_front,BfS0S717ykQ,BfS0S717ykQ-2-rgb_front,0.4,3.57,18,hi | my name is | i'm
INTRODUCTIONS,158,Hi my name is Dave Andrews.,train,1hMYxtfhrzw_0,1hMYxtfhrzw_0-3-rgb_front,1hMYxtfhrzw,1hMYxtfhrzw-3-rgb_front,2.51,4.4,6,hi | my name is
